16,50,1
16,56,1
16,57,1
17,49,1
17,56,1
17,57,1
18,48,1
18,56,1
18,57,1
19,48,1
19,51,1
19,55,1
20,48,1
20,52,1
20,55,1
21,48,1
21,53,1
21,55,1
22,48,1
22,54,1
22,55,1
23,49,1
23,51,1
23,55,1
24,49,1
24,52,1
24,55,1
25,49,1
25,54,1
25,55,1
26,50,1
26,51,1
26,55,1
27,50,1
27,52,1
27,55,1
28,50,1
28,53,1
28,55,1
29,50,1
29,54,1
29,55,1
30,50,1
30,51,1
30,58,1
31,48,1
31,52,1
31,58,1
32,48,1
32,53,1
32,58,1
33,48,1
33,54,1
33,58,1
35,1,1
35,23,1
35,10,1
35,30,1
35,32,1
36,1,1
36,17,1
36,10,1
36,30,1
36,32,1
37,3,1
37,28,1
37,10,1
37,30,1
37,32,1
38,1,1
38,26,1
38,10,1
38,33,1
38,13,1
39,1,1
39,27,1
39,10,1
39,33,1
39,13,1
40,1,1
40,21,1
40,4,1
40,13,1
40,14,1
41,1,1
41,17,1
41,4,1
41,13,1
41,14,1
42,1,1
42,25,1
42,4,1
42,13,1
42,14,1
43,1,1
43,20,1
43,10,1
43,13,1
43,14,1
44,3,1
44,28,1
44,4,1
44,13,1
44,14,1
45,7,1
45,11,1
45,42,1
45,13,1
45,43,1
46,9,1
46,11,1
46,42,1
46,13,1
46,47,1
47,7,1
47,28,1
47,43,1
47,13,1
47,46,1
48,7,1
48,26,1
48,43,1
48,13,1
48,46,1
49,7,1
49,27,1
49,45,1
49,13,1
49,47,1
50,7,1
50,20,1
50,46,1
50,13,1
50,47,1
51,1,1
51,23,1
51,4,1
51,13,1
51,14,1
52,1,1
52,22,1
52,4,1
52,13,1
52,14,1
53,1,1
53,19,1
53,4,1
53,13,1
53,14,1
54,1,1
54,18,1
54,4,1
54,13,1
54,14,1
55,1,1
55,26,1
55,4,1
55,13,1
55,14,1
56,1,1
56,66,1
56,4,1
56,13,1
56,14,1
57,1,1
57,67,1
57,4,1
57,13,1
57,14,1
58,1,1
58,68,1
58,5,1
58,13,1
58,14,1
59,1,1
59,69,1
59,5,1
59,13,1
59,14,1
60,1,1
60,70,1
60,5,1
60,13,1
60,14,1
61,1,1
61,59,1
61,10,1
61,13,1
61,14,1
62,1,1
62,60,1
62,10,1
62,13,1
62,46,1
63,1,1
63,71,1
63,6,1
63,13,1
63,64,1
64,1,1
64,72,1
64,6,1
64,13,1
64,47,1
65,13,1
65,29,1
65,37,1
65,7,1
65,30,1
66,1,1
66,23,1
66,37,1
66,7,1
66,63,1
67,1,1
67,29,1
67,36,1
67,7,1
67,31,1
68,1,1
68,29,1
68,38,1
68,34,1
68,43,1
69,1,1
69,59,1
69,36,1
69,34,1
69,64,1
70,1,1
70,60,1
70,36,1
70,46,1
70,63,1
71,1,1
71,23,1
71,39,1
71,7,1
71,11,1
72,1,1
72,28,1
72,39,1
72,7,1
72,42,1
73,1,1
73,61,1
73,36,1
73,65,1
73,32,1
74,1,1
74,29,2
74,37,1
74,7,1
74,30,1
75,1,1
75,23,2
75,37,1
75,7,1
75,63,1
76,1,1
76,29,2
76,36,1
76,7,1
76,31,1
77,1,1
77,29,2
77,38,1
77,34,1
77,43,1
78,1,1
78,59,2
78,36,1
78,34,1
78,64,1
79,1,1
79,60,2
79,36,1
79,46,1
79,63,1
80,1,1
80,23,2
80,39,1
80,7,1
80,11,1
81,1,1
81,28,2
81,39,1
81,7,1
81,42,1
82,1,1
82,61,2
82,36,1
82,65,1
82,32,1
